county,office,district,party,candidate,votes
Milwaukee,President,,LIB,Chase Russell Oliver,1146
Milwaukee,President,,WGR,Jill Stein,3288
Milwaukee,President,,NP,Claudia De la Cruz,622
Milwaukee,President,,NP,Cornel West,1049
Milwaukee,President,,NP,Robert F. Kennedy Jr.,1905
Milwaukee,President,,NP,Peter Sonski,71
Milwaukee,President,,NP,Cherunda Lynn Fox,0
Monroe,President,,DEM,Kamala D. Harris,8476
Monroe,President,,REP,Donald J. Trump,14563
Monroe,President,,CON,Randall Terry,27
Monroe,President,,LIB,Chase Russell Oliver,59
Monroe,President,,WGR,Jill Stein,47
Monroe,President,,NP,Claudia De la Cruz,8
Monroe,President,,NP,Cornel West,11
Monroe,President,,NP,Robert F. Kennedy Jr.,130
Monroe,President,,NP,Peter Sonski,10
Monroe,President,,NP,Cherunda Lynn Fox,0
Oconto,President,,DEM,Kamala D. Harris,6967
Oconto,President,,REP,Donald J. Trump,17675
Oconto,President,,CON,Randall Terry,33
Oconto,President,,LIB,Chase Russell Oliver,67
Oconto,President,,WGR,Jill Stein,29
Oconto,President,,NP,Claudia De la Cruz,8
Oconto,President,,NP,Cornel West,7
Oconto,President,,NP,Robert F. Kennedy Jr.,95
Oconto,President,,NP,Peter Sonski,2
Oconto,President,,NP,Cherunda Lynn Fox,0
Oneida,President,,DEM,Kamala D. Harris,10080
Oneida,President,,REP,Donald J. Trump,14455
Oneida,President,,CON,Randall Terry,41
Oneida,President,,LIB,Chase Russell Oliver,79
Oneida,President,,WGR,Jill Stein,41
Oneida,President,,NP,Claudia De la Cruz,6
Oneida,President,,NP,Cornel West,8
Oneida,President,,NP,Robert F. Kennedy Jr.,127
Oneida,President,,NP,Peter Sonski,3
Oneida,President,,NP,Cherunda Lynn Fox,0
Outagamie,President,,DEM,Kamala D. Harris,49438
Outagamie,President,,REP,Donald J. Trump,60827
Outagamie,President,,CON,Randall Terry,142
Outagamie,President,,LIB,Chase Russell Oliver,464
Outagamie,President,,WGR,Jill Stein,306
Outagamie,President,,NP,Claudia De la Cruz,54
Outagamie,President,,NP,Cornel West,75
Outagamie,President,,NP,Robert F. Kennedy Jr.,599
Outagamie,President,,NP,Peter Sonski,27
Outagamie,President,,NP,Cherunda Lynn Fox,0
Ozaukee,President,,DEM,Kamala D. Harris,27874
Ozaukee,President,,REP,Donald J. Trump,34504
Ozaukee,President,,CON,Randall Terry,68
Ozaukee,President,,LIB,Chase Russell Oliver,225
Ozaukee,President,,WGR,Jill Stein,192
Ozaukee,President,,NP,Claudia De la Cruz,20
Ozaukee,President,,NP,Cornel West,31
Ozaukee,President,,NP,Robert F. Kennedy Jr.,285
Ozaukee,President,,NP,Peter Sonski,21
Ozaukee,President,,NP,Cherunda Lynn Fox,0
Pepin,President,,DEM,Kamala D. Harris,1523
Pepin,President,,REP,Donald J. Trump,2798
Pepin,President,,CON,Randall Terry,4
Pepin,President,,LIB,Chase Russell Oliver,9
Pepin,President,,WGR,Jill Stein,5
Pepin,President,,NP,Claudia De la Cruz,1
Pepin,President,,NP,Cornel West,3
Pepin,President,,NP,Robert F. Kennedy Jr.,11
Pepin,President,,NP,Peter Sonski,0
Pepin,President,,NP,Cherunda Lynn Fox,0
Pierce,President,,DEM,Kamala D. Harris,10171
Pierce,President,,REP,Donald J. Trump,14417
Pierce,President,,CON,Randall Terry,49
Pierce,President,,LIB,Chase Russell Oliver,101
Pierce,President,,WGR,Jill Stein,186
Pierce,President,,NP,Claudia De la Cruz,20
Pierce,President,,NP,Cornel West,28
Pierce,President,,NP,Robert F. Kennedy Jr.,348
